DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
420,2/24/2011,5,Thursday,2,February,2011,9,24,TRUE
421,2/25/2011,6,Friday,2,February,2011,9,25,TRUE
422,2/26/2011,7,Saturday,2,February,2011,9,26,FALSE
423,2/27/2011,1,Sunday,2,February,2011,10,27,FALSE
424,2/28/2011,2,Monday,2,February,2011,10,28,TRUE
425,3/1/2011,3,Tuesday,3,March,2011,10,1,TRUE
426,3/2/2011,4,Wednesday,3,March,2011,10,2,TRUE
427,3/3/2011,5,Thursday,3,March,2011,10,3,TRUE
428,3/4/2011,6,Friday,3,March,2011,10,4,TRUE
429,3/5/2011,7,Saturday,3,March,2011,10,5,FALSE
430,3/6/2011,1,Sunday,3,March,2011,11,6,FALSE
431,3/7/2011,2,Monday,3,March,2011,11,7,TRUE
432,3/8/2011,3,Tuesday,3,March,2011,11,8,TRUE
433,3/9/2011,4,Wednesday,3,March,2011,11,9,TRUE
434,3/10/2011,5,Thursday,3,March,2011,11,10,TRUE
435,3/11/2011,6,Friday,3,March,2011,11,11,TRUE
436,3/12/2011,7,Saturday,3,March,2011,11,12,FALSE
437,3/13/2011,1,Sunday,3,March,2011,12,13,FALSE
438,3/14/2011,2,Monday,3,March,2011,12,14,TRUE
439,3/15/2011,3,Tuesday,3,March,2011,12,15,TRUE
440,3/16/2011,4,Wednesday,3,March,2011,12,16,TRUE
441,3/17/2011,5,Thursday,3,March,2011,12,17,TRUE
442,3/18/2011,6,Friday,3,March,2011,12,18,TRUE
443,3/19/2011,7,Saturday,3,March,2011,12,19,FALSE
444,3/20/2011,1,Sunday,3,March,2011,13,20,FALSE
445,3/21/2011,2,Monday,3,March,2011,13,21,TRUE
446,3/22/2011,3,Tuesday,3,March,2011,13,22,TRUE
447,3/23/2011,4,Wednesday,3,March,2011,13,23,TRUE
448,3/24/2011,5,Thursday,3,March,2011,13,24,TRUE
449,3/25/2011,6,Friday,3,March,2011,13,25,TRUE
450,3/26/2011,7,Saturday,3,March,2011,13,26,FALSE
451,3/27/2011,1,Sunday,3,March,2011,14,27,FALSE
452,3/28/2011,2,Monday,3,March,2011,14,28,TRUE
453,3/29/2011,3,Tuesday,3,March,2011,14,29,TRUE
454,3/30/2011,4,Wednesday,3,March,2011,14,30,TRUE
455,3/31/2011,5,Thursday,3,March,2011,14,31,TRUE
456,4/1/2011,6,Friday,4,April,2011,14,1,TRUE
457,4/2/2011,7,Saturday,4,April,2011,14,2,FALSE
458,4/3/2011,1,Sunday,4,April,2011,15,3,FALSE
459,4/4/2011,2,Monday,4,April,2011,15,4,TRUE
460,4/5/2011,3,Tuesday,4,April,2011,15,5,TRUE
461,4/6/2011,4,Wednesday,4,April,2011,15,6,TRUE
462,4/7/2011,5,Thursday,4,April,2011,15,7,TRUE
463,4/8/2011,6,Friday,4,April,2011,15,8,TRUE
464,4/9/2011,7,Saturday,4,April,2011,15,9,FALSE
465,4/10/2011,1,Sunday,4,April,2011,16,10,FALSE
466,4/11/2011,2,Monday,4,April,2011,16,11,TRUE
467,4/12/2011,3,Tuesday,4,April,2011,16,12,TRUE
468,4/13/2011,4,Wednesday,4,April,2011,16,13,TRUE
469,4/14/2011,5,Thursday,4,April,2011,16,14,TRUE
470,4/15/2011,6,Friday,4,April,2011,16,15,TRUE
471,4/16/2011,7,Saturday,4,April,2011,16,16,FALSE
472,4/17/2011,1,Sunday,4,April,2011,17,17,FALSE
473,4/18/2011,2,Monday,4,April,2011,17,18,TRUE
474,4/19/2011,3,Tuesday,4,April,2011,17,19,TRUE
475,4/20/2011,4,Wednesday,4,April,2011,17,20,TRUE
476,4/21/2011,5,Thursday,4,April,2011,17,21,TRUE
477,4/22/2011,6,Friday,4,April,2011,17,22,TRUE
478,4/23/2011,7,Saturday,4,April,2011,17,23,FALSE
479,4/24/2011,1,Sunday,4,April,2011,18,24,FALSE
480,4/25/2011,2,Monday,4,April,2011,18,25,TRUE
481,4/26/2011,3,Tuesday,4,April,2011,18,26,TRUE
482,4/27/2011,4,Wednesday,4,April,2011,18,27,TRUE
483,4/28/2011,5,Thursday,4,April,2011,18,28,TRUE
484,4/29/2011,6,Friday,4,April,2011,18,29,TRUE
485,4/30/2011,7,Saturday,4,April,2011,18,30,FALSE
486,5/1/2011,1,Sunday,5,May,2011,19,1,FALSE
487,5/2/2011,2,Monday,5,May,2011,19,2,TRUE
488,5/3/2011,3,Tuesday,5,May,2011,19,3,TRUE
489,5/4/2011,4,Wednesday,5,May,2011,19,4,TRUE
490,5/5/2011,5,Thursday,5,May,2011,19,5,TRUE
491,5/6/2011,6,Friday,5,May,2011,19,6,TRUE
492,5/7/2011,7,Saturday,5,May,2011,19,7,FALSE
493,5/8/2011,1,Sunday,5,May,2011,20,8,FALSE
494,5/9/2011,2,Monday,5,May,2011,20,9,TRUE
495,5/10/2011,3,Tuesday,5,May,2011,20,10,TRUE
496,5/11/2011,4,Wednesday,5,May,2011,20,11,TRUE
497,5/12/2011,5,Thursday,5,May,2011,20,12,TRUE
498,5/13/2011,6,Friday,5,May,2011,20,13,TRUE
499,5/14/2011,7,Saturday,5,May,2011,20,14,FALSE
500,5/15/2011,1,Sunday,5,May,2011,21,15,FALSE
501,5/16/2011,2,Monday,5,May,2011,21,16,TRUE
502,5/17/2011,3,Tuesday,5,May,2011,21,17,TRUE
503,5/18/2011,4,Wednesday,5,May,2011,21,18,TRUE
504,5/19/2011,5,Thursday,5,May,2011,21,19,TRUE
505,5/20/2011,6,Friday,5,May,2011,21,20,TRUE
506,5/21/2011,7,Saturday,5,May,2011,21,21,FALSE
507,5/22/2011,1,Sunday,5,May,2011,22,22,FALSE
508,5/23/2011,2,Monday,5,May,2011,22,23,TRUE
509,5/24/2011,3,Tuesday,5,May,2011,22,24,TRUE
510,5/25/2011,4,Wednesday,5,May,2011,22,25,TRUE
511,5/26/2011,5,Thursday,5,May,2011,22,26,TRUE
512,5/27/2011,6,Friday,5,May,2011,22,27,TRUE
513,5/28/2011,7,Saturday,5,May,2011,22,28,FALSE
514,5/29/2011,1,Sunday,5,May,2011,23,29,FALSE
515,5/30/2011,2,Monday,5,May,2011,23,30,TRUE
516,5/31/2011,3,Tuesday,5,May,2011,23,31,TRUE
517,6/1/2011,4,Wednesday,6,June,2011,23,1,TRUE
518,6/2/2011,5,Thursday,6,June,2011,23,2,TRUE
519,6/3/2011,6,Friday,6,June,2011,23,3,TRUE
520,6/4/2011,7,Saturday,6,June,2011,23,4,FALSE
521,6/5/2011,1,Sunday,6,June,2011,24,5,FALSE
522,6/6/2011,2,Monday,6,June,2011,24,6,TRUE
523,6/7/2011,3,Tuesday,6,June,2011,24,7,TRUE
524,6/8/2011,4,Wednesday,6,June,2011,24,8,TRUE
525,6/9/2011,5,Thursday,6,June,2011,24,9,TRUE
526,6/10/2011,6,Friday,6,June,2011,24,10,TRUE
527,6/11/2011,7,Saturday,6,June,2011,24,11,FALSE
528,6/12/2011,1,Sunday,6,June,2011,25,12,FALSE
529,6/13/2011,2,Monday,6,June,2011,25,13,TRUE
530,6/14/2011,3,Tuesday,6,June,2011,25,14,TRUE
531,6/15/2011,4,Wednesday,6,June,2011,25,15,TRUE
532,6/16/2011,5,Thursday,6,June,2011,25,16,TRUE
533,6/17/2011,6,Friday,6,June,2011,25,17,TRUE
534,6/18/2011,7,Saturday,6,June,2011,25,18,FALSE
535,6/19/2011,1,Sunday,6,June,2011,26,19,FALSE
536,6/20/2011,2,Monday,6,June,2011,26,20,TRUE
537,6/21/2011,3,Tuesday,6,June,2011,26,21,TRUE
538,6/22/2011,4,Wednesday,6,June,2011,26,22,TRUE
539,6/23/2011,5,Thursday,6,June,2011,26,23,TRUE
540,6/24/2011,6,Friday,6,June,2011,26,24,TRUE
541,6/25/2011,7,Saturday,6,June,2011,26,25,FALSE
542,6/26/2011,1,Sunday,6,June,2011,27,26,FALSE
543,6/27/2011,2,Monday,6,June,2011,27,27,TRUE
544,6/28/2011,3,Tuesday,6,June,2011,27,28,TRUE
545,6/29/2011,4,Wednesday,6,June,2011,27,29,TRUE
546,6/30/2011,5,Thursday,6,June,2011,27,30,TRUE
547,7/1/2011,6,Friday,7,July,2011,27,1,TRUE
548,7/2/2011,7,Saturday,7,July,2011,27,2,FALSE
549,7/3/2011,1,Sunday,7,July,2011,28,3,FALSE
550,7/4/2011,2,Monday,7,July,2011,28,4,TRUE
551,7/5/2011,3,Tuesday,7,July,2011,28,5,TRUE
552,7/6/2011,4,Wednesday,7,July,2011,28,6,TRUE
553,7/7/2011,5,Thursday,7,July,2011,28,7,TRUE
554,7/8/2011,6,Friday,7,July,2011,28,8,TRUE
555,7/9/2011,7,Saturday,7,July,2011,28,9,FALSE
556,7/10/2011,1,Sunday,7,July,2011,29,10,FALSE
557,7/11/2011,2,Monday,7,July,2011,29,11,TRUE
558,7/12/2011,3,Tuesday,7,July,2011,29,12,TRUE
559,7/13/2011,4,Wednesday,7,July,2011,29,13,TRUE
560,7/14/2011,5,Thursday,7,July,2011,29,14,TRUE
561,7/15/2011,6,Friday,7,July,2011,29,15,TRUE
562,7/16/2011,7,Saturday,7,July,2011,29,16,FALSE
563,7/17/2011,1,Sunday,7,July,2011,30,17,FALSE
564,7/18/2011,2,Monday,7,July,2011,30,18,TRUE
565,7/19/2011,3,Tuesday,7,July,2011,30,19,TRUE
566,7/20/2011,4,Wednesday,7,July,2011,30,20,TRUE
567,7/21/2011,5,Thursday,7,July,2011,30,21,TRUE
568,7/22/2011,6,Friday,7,July,2011,30,22,TRUE
569,7/23/2011,7,Saturday,7,July,2011,30,23,FALSE
570,7/24/2011,1,Sunday,7,July,2011,31,24,FALSE
571,7/25/2011,2,Monday,7,July,2011,31,25,TRUE
572,7/26/2011,3,Tuesday,7,July,2011,31,26,TRUE
573,7/27/2011,4,Wednesday,7,July,2011,31,27,TRUE
574,7/28/2011,5,Thursday,7,July,2011,31,28,TRUE
575,7/29/2011,6,Friday,7,July,2011,31,29,TRUE
576,7/30/2011,7,Saturday,7,July,2011,31,30,FALSE
577,7/31/2011,1,Sunday,7,July,2011,32,31,FALSE
578,8/1/2011,2,Monday,8,August,2011,32,1,TRUE
579,8/2/2011,3,Tuesday,8,August,2011,32,2,TRUE
580,8/3/2011,4,Wednesday,8,August,2011,32,3,TRUE
581,8/4/2011,5,Thursday,8,August,2011,32,4,TRUE
582,8/5/2011,6,Friday,8,August,2011,32,5,TRUE
583,8/6/2011,7,Saturday,8,August,2011,32,6,FALSE
584,8/7/2011,1,Sunday,8,August,2011,33,7,FALSE
585,8/8/2011,2,Monday,8,August,2011,33,8,TRUE
586,8/9/2011,3,Tuesday,8,August,2011,33,9,TRUE
587,8/10/2011,4,Wednesday,8,August,2011,33,10,TRUE
588,8/11/2011,5,Thursday,8,August,2011,33,11,TRUE
589,8/12/2011,6,Friday,8,August,2011,33,12,TRUE
590,8/13/2011,7,Saturday,8,August,2011,33,13,FALSE
591,8/14/2011,1,Sunday,8,August,2011,34,14,FALSE
592,8/15/2011,2,Monday,8,August,2011,34,15,TRUE
593,8/16/2011,3,Tuesday,8,August,2011,34,16,TRUE
594,8/17/2011,4,Wednesday,8,August,2011,34,17,TRUE
595,8/18/2011,5,Thursday,8,August,2011,34,18,TRUE
596,8/19/2011,6,Friday,8,August,2011,34,19,TRUE
597,8/20/2011,7,Saturday,8,August,2011,34,20,FALSE
598,8/21/2011,1,Sunday,8,August,2011,35,21,FALSE
599,8/22/2011,2,Monday,8,August,2011,35,22,TRUE
600,8/23/2011,3,Tuesday,8,August,2011,35,23,TRUE
601,8/24/2011,4,Wednesday,8,August,2011,35,24,TRUE
602,8/25/2011,5,Thursday,8,August,2011,35,25,TRUE
603,8/26/2011,6,Friday,8,August,2011,35,26,TRUE
604,8/27/2011,7,Saturday,8,August,2011,35,27,FALSE
605,8/28/2011,1,Sunday,8,August,2011,36,28,FALSE
606,8/29/2011,2,Monday,8,August,2011,36,29,TRUE
607,8/30/2011,3,Tuesday,8,August,2011,36,30,TRUE
608,8/31/2011,4,Wednesday,8,August,2011,36,31,TRUE
609,9/1/2011,5,Thursday,9,September,2011,36,1,TRUE
610,9/2/2011,6,Friday,9,September,2011,36,2,TRUE
611,9/3/2011,7,Saturday,9,September,2011,36,3,FALSE
612,9/4/2011,1,Sunday,9,September,2011,37,4,FALSE
613,9/5/2011,2,Monday,9,September,2011,37,5,TRUE
614,9/6/2011,3,Tuesday,9,September,2011,37,6,TRUE
615,9/7/2011,4,Wednesday,9,September,2011,37,7,TRUE
616,9/8/2011,5,Thursday,9,September,2011,37,8,TRUE
617,9/9/2011,6,Friday,9,September,2011,37,9,TRUE
618,9/10/2011,7,Saturday,9,September,2011,37,10,FALSE
619,9/11/2011,1,Sunday,9,September,2011,38,11,FALSE
620,9/12/2011,2,Monday,9,September,2011,38,12,TRUE
621,9/13/2011,3,Tuesday,9,September,2011,38,13,TRUE
622,9/14/2011,4,Wednesday,9,September,2011,38,14,TRUE
623,9/15/2011,5,Thursday,9,September,2011,38,15,TRUE
624,9/16/2011,6,Friday,9,September,2011,38,16,TRUE
625,9/17/2011,7,Saturday,9,September,2011,38,17,FALSE
626,9/18/2011,1,Sunday,9,September,2011,39,18,FALSE
627,9/19/2011,2,Monday,9,September,2011,39,19,TRUE
628,9/20/2011,3,Tuesday,9,September,2011,39,20,TRUE
629,9/21/2011,4,Wednesday,9,September,2011,39,21,TRUE
630,9/22/2011,5,Thursday,9,September,2011,39,22,TRUE
631,9/23/2011,6,Friday,9,September,2011,39,23,TRUE
632,9/24/2011,7,Saturday,9,September,2011,39,24,FALSE
633,9/25/2011,1,Sunday,9,September,2011,40,25,FALSE
634,9/26/2011,2,Monday,9,September,2011,40,26,TRUE
635,9/27/2011,3,Tuesday,9,September,2011,40,27,TRUE
636,9/28/2011,4,Wednesday,9,September,2011,40,28,TRUE
637,9/29/2011,5,Thursday,9,September,2011,40,29,TRUE
638,9/30/2011,6,Friday,9,September,2011,40,30,TRUE
639,10/1/2011,7,Saturday,10,October,2011,40,1,FALSE
640,10/2/2011,1,Sunday,10,October,2011,41,2,FALSE
641,10/3/2011,2,Monday,10,October,2011,41,3,TRUE
642,10/4/2011,3,Tuesday,10,October,2011,41,4,TRUE
643,10/5/2011,4,Wednesday,10,October,2011,41,5,TRUE
644,10/6/2011,5,Thursday,10,October,2011,41,6,TRUE
645,10/7/2011,6,Friday,10,October,2011,41,7,TRUE
646,10/8/2011,7,Saturday,10,October,2011,41,8,FALSE
647,10/9/2011,1,Sunday,10,October,2011,42,9,FALSE
648,10/10/2011,2,Monday,10,October,2011,42,10,TRUE
649,10/11/2011,3,Tuesday,10,October,2011,42,11,TRUE
650,10/12/2011,4,Wednesday,10,October,2011,42,12,TRUE
651,10/13/2011,5,Thursday,10,October,2011,42,13,TRUE
652,10/14/2011,6,Friday,10,October,2011,42,14,TRUE
653,10/15/2011,7,Saturday,10,October,2011,42,15,FALSE
654,10/16/2011,1,Sunday,10,October,2011,43,16,FALSE
655,10/17/2011,2,Monday,10,October,2011,43,17,TRUE
656,10/18/2011,3,Tuesday,10,October,2011,43,18,TRUE
657,10/19/2011,4,Wednesday,10,October,2011,43,19,TRUE
658,10/20/2011,5,Thursday,10,October,2011,43,20,TRUE
659,10/21/2011,6,Friday,10,October,2011,43,21,TRUE
660,10/22/2011,7,Saturday,10,October,2011,43,22,FALSE
661,10/23/2011,1,Sunday,10,October,2011,44,23,FALSE
662,10/24/2011,2,Monday,10,October,2011,44,24,TRUE
663,10/25/2011,3,Tuesday,10,October,2011,44,25,TRUE
664,10/26/2011,4,Wednesday,10,October,2011,44,26,TRUE
665,10/27/2011,5,Thursday,10,October,2011,44,27,TRUE
666,10/28/2011,6,Friday,10,October,2011,44,28,TRUE
667,10/29/2011,7,Saturday,10,October,2011,44,29,FALSE
668,10/30/2011,1,Sunday,10,October,2011,45,30,FALSE
669,10/31/2011,2,Monday,10,October,2011,45,31,TRUE
670,11/1/2011,3,Tuesday,11,November,2011,45,1,TRUE
671,11/2/2011,4,Wednesday,11,November,2011,45,2,TRUE
672,11/3/2011,5,Thursday,11,November,2011,45,3,TRUE
673,11/4/2011,6,Friday,11,November,2011,45,4,TRUE
674,11/5/2011,7,Saturday,11,November,2011,45,5,FALSE
675,11/6/2011,1,Sunday,11,November,2011,46,6,FALSE
676,11/7/2011,2,Monday,11,November,2011,46,7,TRUE
677,11/8/2011,3,Tuesday,11,November,2011,46,8,TRUE
678,11/9/2011,4,Wednesday,11,November,2011,46,9,TRUE
679,11/10/2011,5,Thursday,11,November,2011,46,10,TRUE
680,11/11/2011,6,Friday,11,November,2011,46,11,TRUE
681,11/12/2011,7,Saturday,11,November,2011,46,12,FALSE
682,11/13/2011,1,Sunday,11,November,2011,47,13,FALSE
683,11/14/2011,2,Monday,11,November,2011,47,14,TRUE
684,11/15/2011,3,Tuesday,11,November,2011,47,15,TRUE
685,11/16/2011,4,Wednesday,11,November,2011,47,16,TRUE
686,11/17/2011,5,Thursday,11,November,2011,47,17,TRUE
687,11/18/2011,6,Friday,11,November,2011,47,18,TRUE
688,11/19/2011,7,Saturday,11,November,2011,47,19,FALSE
689,11/20/2011,1,Sunday,11,November,2011,48,20,FALSE
690,11/21/2011,2,Monday,11,November,2011,48,21,TRUE
691,11/22/2011,3,Tuesday,11,November,2011,48,22,TRUE
692,11/23/2011,4,Wednesday,11,November,2011,48,23,TRUE
693,11/24/2011,5,Thursday,11,November,2011,48,24,TRUE
694,11/25/2011,6,Friday,11,November,2011,48,25,TRUE
695,11/26/2011,7,Saturday,11,November,2011,48,26,FALSE
696,11/27/2011,1,Sunday,11,November,2011,49,27,FALSE
697,11/28/2011,2,Monday,11,November,2011,49,28,TRUE
698,11/29/2011,3,Tuesday,11,November,2011,49,29,TRUE
699,11/30/2011,4,Wednesday,11,November,2011,49,30,TRUE
700,12/1/2011,5,Thursday,12,December,2011,49,1,TRUE
701,12/2/2011,6,Friday,12,December,2011,49,2,TRUE
702,12/3/2011,7,Saturday,12,December,2011,49,3,FALSE
703,12/4/2011,1,Sunday,12,December,2011,50,4,FALSE
704,12/5/2011,2,Monday,12,December,2011,50,5,TRUE
705,12/6/2011,3,Tuesday,12,December,2011,50,6,TRUE
706,12/7/2011,4,Wednesday,12,December,2011,50,7,TRUE
707,12/8/2011,5,Thursday,12,December,2011,50,8,TRUE
708,12/9/2011,6,Friday,12,December,2011,50,9,TRUE
709,12/10/2011,7,Saturday,12,December,2011,50,10,FALSE
710,12/11/2011,1,Sunday,12,December,2011,51,11,FALSE
711,12/12/2011,2,Monday,12,December,2011,51,12,TRUE
712,12/13/2011,3,Tuesday,12,December,2011,51,13,TRUE
713,12/14/2011,4,Wednesday,12,December,2011,51,14,TRUE
714,12/15/2011,5,Thursday,12,December,2011,51,15,TRUE
715,12/16/2011,6,Friday,12,December,2011,51,16,TRUE
716,12/17/2011,7,Saturday,12,December,2011,51,17,FALSE
717,12/18/2011,1,Sunday,12,December,2011,52,18,FALSE
718,12/19/2011,2,Monday,12,December,2011,52,19,TRUE
719,12/20/2011,3,Tuesday,12,December,2011,52,20,TRUE
720,12/21/2011,4,Wednesday,12,December,2011,52,21,TRUE
721,12/22/2011,5,Thursday,12,December,2011,52,22,TRUE
722,12/23/2011,6,Friday,12,December,2011,52,23,TRUE
723,12/24/2011,7,Saturday,12,December,2011,52,24,FALSE
724,12/25/2011,1,Sunday,12,December,2011,53,25,FALSE
725,12/26/2011,2,Monday,12,December,2011,53,26,TRUE
726,12/27/2011,3,Tuesday,12,December,2011,53,27,TRUE
727,12/28/2011,4,Wednesday,12,December,2011,53,28,TRUE
728,12/29/2011,5,Thursday,12,December,2011,53,29,TRUE
729,12/30/2011,6,Friday,12,December,2011,53,30,TRUE
730,12/31/2011,7,Saturday,12,December,2011,53,31,FALSE
731,1/1/2012,1,Sunday,1,January,2012,1,1,FALSE
732,1/2/2012,2,Monday,1,January,2012,1,2,TRUE
733,1/3/2012,3,Tuesday,1,January,2012,1,3,TRUE
734,1/4/2012,4,Wednesday,1,January,2012,1,4,TRUE
735,1/5/2012,5,Thursday,1,January,2012,1,5,TRUE
736,1/6/2012,6,Friday,1,January,2012,1,6,TRUE
737,1/7/2012,7,Saturday,1,January,2012,1,7,FALSE
738,1/8/2012,1,Sunday,1,January,2012,2,8,FALSE
739,1/9/2012,2,Monday,1,January,2012,2,9,TRUE
740,1/10/2012,3,Tuesday,1,January,2012,2,10,TRUE
741,1/11/2012,4,Wednesday,1,January,2012,2,11,TRUE
742,1/12/2012,5,Thursday,1,January,2012,2,12,TRUE
743,1/13/2012,6,Friday,1,January,2012,2,13,TRUE
744,1/14/2012,7,Saturday,1,January,2012,2,14,FALSE
745,1/15/2012,1,Sunday,1,January,2012,3,15,FALSE
746,1/16/2012,2,Monday,1,January,2012,3,16,TRUE
747,1/17/2012,3,Tuesday,1,January,2012,3,17,TRUE
748,1/18/2012,4,Wednesday,1,January,2012,3,18,TRUE
749,1/19/2012,5,Thursday,1,January,2012,3,19,TRUE
750,1/20/2012,6,Friday,1,January,2012,3,20,TRUE
751,1/21/2012,7,Saturday,1,January,2012,3,21,FALSE
752,1/22/2012,1,Sunday,1,January,2012,4,22,FALSE
753,1/23/2012,2,Monday,1,January,2012,4,23,TRUE
754,1/24/2012,3,Tuesday,1,January,2012,4,24,TRUE
755,1/25/2012,4,Wednesday,1,January,2012,4,25,TRUE
756,1/26/2012,5,Thursday,1,January,2012,4,26,TRUE
757,1/27/2012,6,Friday,1,January,2012,4,27,TRUE
758,1/28/2012,7,Saturday,1,January,2012,4,28,FALSE
759,1/29/2012,1,Sunday,1,January,2012,5,29,FALSE
760,1/30/2012,2,Monday,1,January,2012,5,30,TRUE
761,1/31/2012,3,Tuesday,1,January,2012,5,31,TRUE
762,2/1/2012,4,Wednesday,2,February,2012,5,1,TRUE
763,2/2/2012,5,Thursday,2,February,2012,5,2,TRUE
764,2/3/2012,6,Friday,2,February,2012,5,3,TRUE
765,2/4/2012,7,Saturday,2,February,2012,5,4,FALSE
766,2/5/2012,1,Sunday,2,February,2012,6,5,FALSE
767,2/6/2012,2,Monday,2,February,2012,6,6,TRUE
768,2/7/2012,3,Tuesday,2,February,2012,6,7,TRUE
769,2/8/2012,4,Wednesday,2,February,2012,6,8,TRUE
770,2/9/2012,5,Thursday,2,February,2012,6,9,TRUE
771,2/10/2012,6,Friday,2,February,2012,6,10,TRUE
772,2/11/2012,7,Saturday,2,February,2012,6,11,FALSE
773,2/12/2012,1,Sunday,2,February,2012,7,12,FALSE
774,2/13/2012,2,Monday,2,February,2012,7,13,TRUE
775,2/14/2012,3,Tuesday,2,February,2012,7,14,TRUE
776,2/15/2012,4,Wednesday,2,February,2012,7,15,TRUE
777,2/16/2012,5,Thursday,2,February,2012,7,16,TRUE
778,2/17/2012,6,Friday,2,February,2012,7,17,TRUE
779,2/18/2012,7,Saturday,2,February,2012,7,18,FALSE
780,2/19/2012,1,Sunday,2,February,2012,8,19,FALSE
781,2/20/2012,2,Monday,2,February,2012,8,20,TRUE
782,2/21/2012,3,Tuesday,2,February,2012,8,21,TRUE
783,2/22/2012,4,Wednesday,2,February,2012,8,22,TRUE
784,2/23/2012,5,Thursday,2,February,2012,8,23,TRUE
785,2/24/2012,6,Friday,2,February,2012,8,24,TRUE
786,2/25/2012,7,Saturday,2,February,2012,8,25,FALSE
787,2/26/2012,1,Sunday,2,February,2012,9,26,FALSE
788,2/27/2012,2,Monday,2,February,2012,9,27,TRUE
789,2/28/2012,3,Tuesday,2,February,2012,9,28,TRUE
790,2/29/2012,4,Wednesday,2,February,2012,9,29,TRUE
791,3/1/2012,5,Thursday,3,March,2012,9,1,TRUE
792,3/2/2012,6,Friday,3,March,2012,9,2,TRUE
793,3/3/2012,7,Saturday,3,March,2012,9,3,FALSE
794,3/4/2012,1,Sunday,3,March,2012,10,4,FALSE
795,3/5/2012,2,Monday,3,March,2012,10,5,TRUE
796,3/6/2012,3,Tuesday,3,March,2012,10,6,TRUE
797,3/7/2012,4,Wednesday,3,March,2012,10,7,TRUE
798,3/8/2012,5,Thursday,3,March,2012,10,8,TRUE
799,3/9/2012,6,Friday,3,March,2012,10,9,TRUE
800,3/10/2012,7,Saturday,3,March,2012,10,10,FALSE
801,3/11/2012,1,Sunday,3,March,2012,11,11,FALSE
802,3/12/2012,2,Monday,3,March,2012,11,12,TRUE
803,3/13/2012,3,Tuesday,3,March,2012,11,13,TRUE
804,3/14/2012,4,Wednesday,3,March,2012,11,14,TRUE
805,3/15/2012,5,Thursday,3,March,2012,11,15,TRUE
806,3/16/2012,6,Friday,3,March,2012,11,16,TRUE
807,3/17/2012,7,Saturday,3,March,2012,11,17,FALSE
808,3/18/2012,1,Sunday,3,March,2012,12,18,FALSE
809,3/19/2012,2,Monday,3,March,2012,12,19,TRUE
810,3/20/2012,3,Tuesday,3,March,2012,12,20,TRUE
811,3/21/2012,4,Wednesday,3,March,2012,12,21,TRUE
812,3/22/2012,5,Thursday,3,March,2012,12,22,TRUE
813,3/23/2012,6,Friday,3,March,2012,12,23,TRUE
814,3/24/2012,7,Saturday,3,March,2012,12,24,FALSE
815,3/25/2012,1,Sunday,3,March,2012,13,25,FALSE
816,3/26/2012,2,Monday,3,March,2012,13,26,TRUE
817,3/27/2012,3,Tuesday,3,March,2012,13,27,TRUE
818,3/28/2012,4,Wednesday,3,March,2012,13,28,TRUE
819,3/29/2012,5,Thursday,3,March,2012,13,29,TRUE
820,3/30/2012,6,Friday,3,March,2012,13,30,TRUE
821,3/31/2012,7,Saturday,3,March,2012,13,31,FALSE
822,4/1/2012,1,Sunday,4,April,2012,14,1,FALSE
823,4/2/2012,2,Monday,4,April,2012,14,2,TRUE
824,4/3/2012,3,Tuesday,4,April,2012,14,3,TRUE
825,4/4/2012,4,Wednesday,4,April,2012,14,4,TRUE
826,4/5/2012,5,Thursday,4,April,2012,14,5,TRUE
827,4/6/2012,6,Friday,4,April,2012,14,6,TRUE
828,4/7/2012,7,Saturday,4,April,2012,14,7,FALSE
829,4/8/2012,1,Sunday,4,April,2012,15,8,FALSE
830,4/9/2012,2,Monday,4,April,2012,15,9,TRUE
831,4/10/2012,3,Tuesday,4,April,2012,15,10,TRUE
832,4/11/2012,4,Wednesday,4,April,2012,15,11,TRUE
833,4/12/2012,5,Thursday,4,April,2012,15,12,TRUE
834,4/13/2012,6,Friday,4,April,2012,15,13,TRUE
835,4/14/2012,7,Saturday,4,April,2012,15,14,FALSE
836,4/15/2012,1,Sunday,4,April,2012,16,15,FALSE
837,4/16/2012,2,Monday,4,April,2012,16,16,TRUE
838,4/17/2012,3,Tuesday,4,April,2012,16,17,TRUE
839,4/18/2012,4,Wednesday,4,April,2012,16,18,TRUE
840,4/19/2012,5,Thursday,4,April,2012,16,19,TRUE
841,4/20/2012,6,Friday,4,April,2012,16,20,TRUE
842,4/21/2012,7,Saturday,4,April,2012,16,21,FALSE
843,4/22/2012,1,Sunday,4,April,2012,17,22,FALSE
844,4/23/2012,2,Monday,4,April,2012,17,23,TRUE
845,4/24/2012,3,Tuesday,4,April,2012,17,24,TRUE
846,4/25/2012,4,Wednesday,4,April,2012,17,25,TRUE
847,4/26/2012,5,Thursday,4,April,2012,17,26,TRUE
848,4/27/2012,6,Friday,4,April,2012,17,27,TRUE
849,4/28/2012,7,Saturday,4,April,2012,17,28,FALSE
850,4/29/2012,1,Sunday,4,April,2012,18,29,FALSE
851,4/30/2012,2,Monday,4,April,2012,18,30,TRUE
852,5/1/2012,3,Tuesday,5,May,2012,18,1,TRUE
