DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
97,4/7/2010,4,Wednesday,4,April,2010,15,7,TRUE
98,4/8/2010,5,Thursday,4,April,2010,15,8,TRUE
99,4/9/2010,6,Friday,4,April,2010,15,9,TRUE
100,4/10/2010,7,Saturday,4,April,2010,15,10,FALSE
101,4/11/2010,1,Sunday,4,April,2010,16,11,FALSE
102,4/12/2010,2,Monday,4,April,2010,16,12,TRUE
103,4/13/2010,3,Tuesday,4,April,2010,16,13,TRUE
104,4/14/2010,4,Wednesday,4,April,2010,16,14,TRUE
105,4/15/2010,5,Thursday,4,April,2010,16,15,TRUE
106,4/16/2010,6,Friday,4,April,2010,16,16,TRUE
107,4/17/2010,7,Saturday,4,April,2010,16,17,FALSE
108,4/18/2010,1,Sunday,4,April,2010,17,18,FALSE
109,4/19/2010,2,Monday,4,April,2010,17,19,TRUE
110,4/20/2010,3,Tuesday,4,April,2010,17,20,TRUE
111,4/21/2010,4,Wednesday,4,April,2010,17,21,TRUE
112,4/22/2010,5,Thursday,4,April,2010,17,22,TRUE
113,4/23/2010,6,Friday,4,April,2010,17,23,TRUE
114,4/24/2010,7,Saturday,4,April,2010,17,24,FALSE
115,4/25/2010,1,Sunday,4,April,2010,18,25,FALSE
116,4/26/2010,2,Monday,4,April,2010,18,26,TRUE
117,4/27/2010,3,Tuesday,4,April,2010,18,27,TRUE
118,4/28/2010,4,Wednesday,4,April,2010,18,28,TRUE
119,4/29/2010,5,Thursday,4,April,2010,18,29,TRUE
120,4/30/2010,6,Friday,4,April,2010,18,30,TRUE
121,5/1/2010,7,Saturday,5,May,2010,18,1,FALSE
122,5/2/2010,1,Sunday,5,May,2010,19,2,FALSE
123,5/3/2010,2,Monday,5,May,2010,19,3,TRUE
124,5/4/2010,3,Tuesday,5,May,2010,19,4,TRUE
125,5/5/2010,4,Wednesday,5,May,2010,19,5,TRUE
126,5/6/2010,5,Thursday,5,May,2010,19,6,TRUE
127,5/7/2010,6,Friday,5,May,2010,19,7,TRUE
128,5/8/2010,7,Saturday,5,May,2010,19,8,FALSE
129,5/9/2010,1,Sunday,5,May,2010,20,9,FALSE
130,5/10/2010,2,Monday,5,May,2010,20,10,TRUE
131,5/11/2010,3,Tuesday,5,May,2010,20,11,TRUE
132,5/12/2010,4,Wednesday,5,May,2010,20,12,TRUE
133,5/13/2010,5,Thursday,5,May,2010,20,13,TRUE
134,5/14/2010,6,Friday,5,May,2010,20,14,TRUE
135,5/15/2010,7,Saturday,5,May,2010,20,15,FALSE
136,5/16/2010,1,Sunday,5,May,2010,21,16,FALSE
137,5/17/2010,2,Monday,5,May,2010,21,17,TRUE
138,5/18/2010,3,Tuesday,5,May,2010,21,18,TRUE
139,5/19/2010,4,Wednesday,5,May,2010,21,19,TRUE
140,5/20/2010,5,Thursday,5,May,2010,21,20,TRUE
141,5/21/2010,6,Friday,5,May,2010,21,21,TRUE
142,5/22/2010,7,Saturday,5,May,2010,21,22,FALSE
143,5/23/2010,1,Sunday,5,May,2010,22,23,FALSE
144,5/24/2010,2,Monday,5,May,2010,22,24,TRUE
145,5/25/2010,3,Tuesday,5,May,2010,22,25,TRUE
146,5/26/2010,4,Wednesday,5,May,2010,22,26,TRUE
147,5/27/2010,5,Thursday,5,May,2010,22,27,TRUE
148,5/28/2010,6,Friday,5,May,2010,22,28,TRUE
149,5/29/2010,7,Saturday,5,May,2010,22,29,FALSE
150,5/30/2010,1,Sunday,5,May,2010,23,30,FALSE
151,5/31/2010,2,Monday,5,May,2010,23,31,TRUE
152,6/1/2010,3,Tuesday,6,June,2010,23,1,TRUE
153,6/2/2010,4,Wednesday,6,June,2010,23,2,TRUE
154,6/3/2010,5,Thursday,6,June,2010,23,3,TRUE
155,6/4/2010,6,Friday,6,June,2010,23,4,TRUE
156,6/5/2010,7,Saturday,6,June,2010,23,5,FALSE
157,6/6/2010,1,Sunday,6,June,2010,24,6,FALSE
158,6/7/2010,2,Monday,6,June,2010,24,7,TRUE
159,6/8/2010,3,Tuesday,6,June,2010,24,8,TRUE
160,6/9/2010,4,Wednesday,6,June,2010,24,9,TRUE
161,6/10/2010,5,Thursday,6,June,2010,24,10,TRUE
162,6/11/2010,6,Friday,6,June,2010,24,11,TRUE
163,6/12/2010,7,Saturday,6,June,2010,24,12,FALSE
164,6/13/2010,1,Sunday,6,June,2010,25,13,FALSE
165,6/14/2010,2,Monday,6,June,2010,25,14,TRUE
166,6/15/2010,3,Tuesday,6,June,2010,25,15,TRUE
167,6/16/2010,4,Wednesday,6,June,2010,25,16,TRUE
168,6/17/2010,5,Thursday,6,June,2010,25,17,TRUE
169,6/18/2010,6,Friday,6,June,2010,25,18,TRUE
170,6/19/2010,7,Saturday,6,June,2010,25,19,FALSE
171,6/20/2010,1,Sunday,6,June,2010,26,20,FALSE
172,6/21/2010,2,Monday,6,June,2010,26,21,TRUE
173,6/22/2010,3,Tuesday,6,June,2010,26,22,TRUE
174,6/23/2010,4,Wednesday,6,June,2010,26,23,TRUE
175,6/24/2010,5,Thursday,6,June,2010,26,24,TRUE
176,6/25/2010,6,Friday,6,June,2010,26,25,TRUE
177,6/26/2010,7,Saturday,6,June,2010,26,26,FALSE
178,6/27/2010,1,Sunday,6,June,2010,27,27,FALSE
179,6/28/2010,2,Monday,6,June,2010,27,28,TRUE
180,6/29/2010,3,Tuesday,6,June,2010,27,29,TRUE
181,6/30/2010,4,Wednesday,6,June,2010,27,30,TRUE
182,7/1/2010,5,Thursday,7,July,2010,27,1,TRUE
183,7/2/2010,6,Friday,7,July,2010,27,2,TRUE
184,7/3/2010,7,Saturday,7,July,2010,27,3,FALSE
185,7/4/2010,1,Sunday,7,July,2010,28,4,FALSE
186,7/5/2010,2,Monday,7,July,2010,28,5,TRUE
187,7/6/2010,3,Tuesday,7,July,2010,28,6,TRUE
188,7/7/2010,4,Wednesday,7,July,2010,28,7,TRUE
189,7/8/2010,5,Thursday,7,July,2010,28,8,TRUE
190,7/9/2010,6,Friday,7,July,2010,28,9,TRUE
